Animal Name,Animal Type,Description,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBFAMILY,SUBORDER,SUPERFAMILY,SUBCLASS,INFRACLASS,SUPERORDER,CONTINENTS,SUBCONTINENTS,COUNTRIES,BIOGEOGRAPHICAL REALMS,WWF BIOMES,INTRODUCED COUNTRIES,OCEANS,REGIONS,Distribution Info,Population threats,Population number,Ecological niche,Conservation,POPULATION TREND,POPULATION STATUS
Mindoro hawk-owl,Mindoro boobook,The Mindoro hawk-owl or Mindoro boobook (Ninox mindorensis ) is a species of owl in the family Strigidae that is endemic to the Philippines.,Animalia,Chordata,,Aves,Passeriformes,Strigidae,Ninox,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Luzon sunbird,Mountain sunbird,"The Luzon sunbird or mountain sunbird (Aethopyga jefferyi ) is a species of bird in the family Nectariniidae. It is endemic to the Philippines.
Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Nectariniidae,Aethopyga,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Visayan bulbul,Steere's bulbul,"The Visayan bulbul (Hypsipetes guimarasensis ) or Steere's bulbul, is a songbird species in the bulbul family, Pycnonotidae.
It is endemic to the western Visayas in the Philippines. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests. Until 2010, it was considered to be a subspecies of the Philippine bulbul.",Animalia,Chordata,,Aves,Passeriformes,Pycnonotidae,Hypsipetes,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Near Threatened (NT)
Maroon-naped sunbird,,"The maroon-naped sunbird (Aethopyga guimarasensis ) is a species of bird in the family Nectariniidae. It is endemic to the Philippines (Negros Island, Panay and Guimaras). Its natural habitat is subtropical or tropical moist lowland forests.",Animalia,Chordata,,Aves,Passeriformes,Nectariniidae,Aethopyga,,,,,,,,,,,,,,,,,,,,Decreasing,Vulnerable (VU)
Cordillera ground warbler,"Rabor's wren-babbler, Luzon wren-babbler","The Cordillera ground warbler (Robsonius rabori ), also known as Rabor's wren-babbler or the Luzon wren-babbler, is a species of bird currently placed in the family Locustellidae. It is endemic to the Philippines found in the Northwest Luzon in the foothills of the Cordillera Mountain Range. Some taxonomists continue to list the species in the Timaliidae, others in the Pellorneidae.There are no known photographs of live Cordillera ground warblers in the wild.
Its natural habitat is tropical moist lowland forests.It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,,Aves,Strigiformes,Locustellidae,Robsonius,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Mindanao hawk-owl,Mindanao boobook,"The Mindanao hawk-owl or Mindanao boobook (Ninox spilocephala ) is a species of owl in the family Strigidae that is endemic to the Philippines on the island of Mindanao. It was previously known as a subspecies of the Philippine hawk-owl, but was reclassified in 2012, as voice and other evidence suggested it a distinct species. It is found in tropical moist lowland forest. It is threatened by habitat loss.",Animalia,Chordata,,Aves,Piciformes,Strigidae,Ninox,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
Sulu pygmy woodpecker,Sulu woodpecker,"The Sulu pygmy woodpecker (Yungipicus ramsayi ), also known as the Sulu woodpecker, is a species of bird in the family Picidae. Formerly lumped with the Philippine pygmy woodpecker (Y. maculatus ), it seems to form a superspecies with this and the Sulawesi pygmy woodpecker (Y. temminckii ). Some taxonomic authorities continue to place this species in the genus Dendrocopos or Picoides.
It is endemic to the Philippines. Its natural habitats are tropical moist lowland forest, tropical mangrove forest, and arable land. It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Picidae,Picoides,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Short-crested monarch,,The short-crested monarch (Hypothymis helenae ) is a species of bird in the family Monarchidae.It is endemic to the Philippines. It is found in tropical moist lowland forest. It is threatened by habitat loss.,Animalia,Chordata,,Aves,Passeriformes,Monarchidae,Hypothymis,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Orange-tufted spiderhunter,,The orange-tufted spiderhunter (Arachnothera flammifera ) is a species of bird in the family Nectariniidae. It is found in the southern and eastern Philippines. It was originally considered a subspecies of the little spiderhunter.,Animalia,Chordata,,Aves,Passeriformes,Nectariniidae,Arachnothera,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Ashy-fronted bulbul,,"The ashy-fronted bulbul (Pycnonotus cinereifrons ) is a member of the bulbul family of passerine birds. It is endemic to Palawan in the Philippines. Its natural habitat is subtropical or tropical moist lowland forests. Until 2010, the ashy-fronted bulbul was considered as a subspecies of the olive-winged bulbul.",Animalia,Chordata,,Aves,Passeriformes,Pycnonotidae,Pycnonotus,,,,,,,Asia,,Philippines,"Australasian,",,,,,,,,,,Decreasing,Vulnerable (VU)
Grand rhabdornis,"Long-billed rhabdornis, Long-billed creeper","The grand rhabdornis (Rhabdornis grandis ), also known as the long-billed rhabdornis or long-billed creeper, is a species of bird currently placed in the starling family, Sturnidae. It is endemic to Luzon Island in the Philippines. It is sometimes treated as a subspecies of the stripe-breasted creeper (R. inornatus ).",Animalia,Chordata,,Aves,Passeriformes,Sturnidae,Rhabdornis,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Palawan flowerpecker,,"The Palawan flowerpecker (Prionochilus plateni ) is a species of bird in the family Dicaeidae. It is endemic to the Philippines.
Its natural habitat is subtropical or tropical moist lowland forest.
The scientific name commemorates the German zoologist Carl Constantin Platen.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Dicaeidae,Prionochilus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
Ashy-headed babbler,,"The ashy-headed babbler (Pellorneum cinereiceps ) is a species of bird in the ground babbler family Pellorneidae. The species is also known as the ashy-crowned babbler. The species is closely related to the short-tailed babbler. The two species are sometimes treated as the same species but differ in their calls. The species is monotypic, meaning it has no subspecies.",Animalia,Chordata,,Aves,Passeriformes,Pellorneidae,Trichastoma,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Golden-crowned babbler,,The golden-crowned babbler (Sterrhoptilus dennistouni ) is a species of bird in the family Zosteropidae. It is endemic to the Philippines only being found in the moist tropical forest in Northern Luzon. It is threatened by habitat loss.,Animalia,Chordata,,Aves,Passeriformes,Zosteropidae,Sterrhoptilus,,,,,,,,,,,,,,,,,,,,Decreasing,Vulnerable (VU)
Melodious babbler,,"The melodious babbler (Malacopteron palawanense ) is a species of bird in the family Pellorneidae.It is endemic to the Philippines.
Its natural habitat is subtropical or tropical moist lowland forest.It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Pellorneidae,Malacopteron,,,,,,,,,,,,,,,,,,,,Stable,Near Threatened (NT)
Ashy-breasted flycatcher,,The ashy-breasted flycatcher (Muscicapa randi ) is a species of bird in the family Muscicapidae.It is endemic to the Philippines found only on the islands of Negros and Luzon. Its natural habitat is tropical moist lowland forests. It is threatened by habitat loss.,Animalia,Chordata,,Aves,Passeriformes,Muscicapidae,Muscicapa,,,,,,,Asia,,Philippines,"Australasian,",,,,,,,,,,Decreasing,Least concern (LC)
Buzzing flowerpecker,White-bellied flowerpecker,"The buzzing flowerpecker (Dicaeum hypoleucum ) or white-bellied flowerpecker, is a species of bird in the family Dicaeidae. It is endemic to the Philippines. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.",Animalia,Chordata,,Aves,Passeriformes,Dicaeidae,Dicaeum,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Tablas fantail,,"The Tablas fantail (Rhipidura sauli ) is a fantail endemic to the Philippines on Tablas Island. Until recently, it was considered conspecific with the blue-headed fantail and Visayan fantail. It is threatened by habitat loss.",Animalia,Chordata,,Aves,Passeriformes,Rhipiduridae,Rhipidura,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Endangered (EN)
Chestnut-faced babbler,,"The chestnut-faced babbler (Zosterornis whiteheadi ) is a species of bird in the white-eye family Zosteropidae. It is endemic to the island of Luzon in the Philippines. There are two subspecies, Z. w. whiteheadi in northern and central Luzon, and Z. w. sorsogonensis in southeastern Luzon. The species is generally found in mountain forests, generally above 1000 m (although occasionally down to 100m). Within its range it is catholic in its choice of habitat, frequenting broadleaf forests, moist mossy forests, pine forest, open forest, scrub and human modified habitat as well.
The chestnut-faced babbler is a medium-sized babbler, 15 cm in length and weighing between 17–28 g. The plumage of this species is not sexually dimorphic, and that of juveniles has not been described. They have a chestnut face with a grey crown and nape, and an incomplete white eye ring. The wings and tail are olive-brown and the flanks paler olive, tending towards buff-yellow on the breast. The subspecies Z. w. sorsogonensis is similar, but the crown and nape are edged in black. The call is described as rapid, busy and metallic.
The species feeds on seeds, fruit, insects (particularly beetles) and spiders. Single birds, pairs or flocks of up to thirty will feed, usually in the lower growth of the forest, but occasionally up to the canopy. They will join mixed-species feeding flocks with other species. Water is obtained from pitcher plants.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Zosteropidae,Zosterornis,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Sulphur-bellied bulbul,,"The sulphur-bellied bulbul (Iole palawanensis ) is a songbird species in the bulbul family, Pycnonotidae. It is endemic to Palawan (Philippines). Its natural habitat is subtropical or tropical moist lowland forests. It is not considered a threatened species by the IUCN.",Animalia,Chordata,,Aves,Passeriformes,Pycnonotidae,Iole,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Bagobo babbler,Bagobo robin,"The Bagobo babbler or Bagobo robin (Leonardina woodi ) is a monotypic species of bird with its taxonomy undergoing numerous changes and is currently classified as Muscicapidae or an old world flycatcher. It is endemic to the Philippines only found in Mindanao.
It habitat are in moist montane forests up to 2030 meters above sea level. It is named after the Bagobo tribe.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Pellorneidae,Leonardina,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Little slaty flycatcher,,"The little slaty flycatcher (Ficedula basilanica ) is a species of bird in the family Muscicapidae.It is found on the islands of Mindanao, Leyte and Samar in the Philippines.
Its natural habitat is tropical moist lowland forests.It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Muscicapidae,Ficedula,,,,,,,,,,,,,,,,,,,,Decreasing,Near Threatened (NT)
Philippine bush warbler,"Luzon bush warbler,","The Philippine bush warbler (Horornis seebohmi ), also known as the Luzon bush warbler, is a species of bird in the family Cettiidae.It was formerly conspecific with the Japanese bush warbler. It is found only in the Philippines in the Cordillera Mountain Range of northern Luzon. It is found in tropical montane forest.",Animalia,Chordata,,Aves,Piciformes,Scotocercidae,Horornis,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Southern sooty woodpecker,,"The southern sooty woodpecker (Mulleripicus fuliginosus ) is a bird in the family Picidae. It is endemic to the Philippines, where it occurs in lowland evergreen forest up to 500 m (1,600 ft) in elevation, on the islands of Mindanao, Leyte, and Samar. It is threatened by habitat loss.
Both the southern sooty woodpecker and the northern sooty woodpecker were previously considered to be subspecies of the same species, Mulleripicus funebris, known simply as the ""sooty woodpecker"". They were split as distinct species by the IOC in 2021.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Picidae,Mulleripicus,,,,,,,,,,,,,,,,,,,,Decreasing,Near Threatened (NT)
Benguet bush warbler,"Benguet grasshopper-warbler,","The Benguet bush warbler (Locustella seebohmi ), also known as the Benguet grasshopper-warbler, is a songbird species. Formerly placed in the ""Old World warbler"" assemblage, it is now placed in the newly recognized family Locustellidae. L. seebohmi was formerly known as russet bush warbler, but that name is now restricted to L. mandelli, formerly included in L. seebohmi as a subspecies but now considered a separate species. It is found in the m of northern Luzon in the Philippines.",Animalia,Chordata,,Aves,Passeriformes,Locustellidae,Locustella,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Mindoro bulbul,,"The Mindoro bulbul (Hypsipetes mindorensis ) is a songbird species in the bulbul family, Pycnonotidae.
It is endemic to Mindoro in the Philippines. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests.",Animalia,Chordata,,Aves,Passeriformes,Pycnonotidae,Hypsipetes,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Falcated wren-babbler,,"The falcated wren-babbler (Ptilocichla falcata ) is a species of bird in the family Pellorneidae.It is endemic to Palawan.
Its natural habitat is tropical moist lowland forest.It is threatened by habitat loss.",Animalia,Chordata,,Aves,Passeriformes,Pellorneidae,Ptilocichla,,,,,,,,,,,,,,,,,,,,Unknown,Vulnerable (VU)
Flame-crowned flowerpecker,,"The flame-crowned flowerpecker (Dicaeum kampalili ) is a species of bird in the family Dicaeidae. It is endemic to Mindanao in the Philippines. The yellow-crowned flowerpecker (Dicaeum anthonyi ), which is endemic to Luzon, was formerly considered conspecific.",Animalia,Chordata,,Aves,Passeriformes,Dicaeidae,Dicaeum,,,,,,,,,,,,,,,,,,,,Decreasing,Near Threatened (NT)
Bundok flycatcher,Thicket flycatcher,"The Bundok flycatcher (Ficedula luzoniensis ) or thicket flycatcher, is a species of bird in the family Muscicapidae.It is endemic to the Philippines.
Its natural habitat is subtropical or tropical moist lowland forests.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Muscicapidae,Ficedula,,,,,,,,,,,,,,,,,,,,Decreasing,Near Threatened (NT)
Olive-backed flowerpecker,,"The olive-backed flowerpecker (Prionochilus olivaceus ) is a species of bird in the family Dicaeidae.It is endemic to the Philippines.
Its natural habitat is subtropical or tropical moist lowland forest.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Dicaeidae,Prionochilus,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Negros striped babbler,,"The Negros striped babbler (Zosterornis nigrorum ) is a species of bird in the family Zosteropidae. It is endemic to Negros Island (Philippines).
Its natural habitat is tropical moist montane forest in the range of 900–1,600 masl. It is threatened by habitat loss.",Animalia,Chordata,,Aves,Passeriformes,Zosteropidae,Zosterornis,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Panay striped babbler,,The Panay striped babbler (Zosterornis latistriatus ) is a species of bird in the family Zosteropidae and one of the most attractive birds in the country. It is endemic to the Philippines only being found on the island of Panay (Philippines). Its natural habitat is tropical moist montane forest. It is threatened by habitat loss.,Animalia,Chordata,,Aves,Passeriformes,Zosteropidae,Zosterornis,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Mindanao white-eye,Black-masked white-eye,"The Mindanao white-eye (Heleia goodfellowi ), also known as the black-masked white-eye, is a species of bird in the family Zosteropidae. The specific epithet honours British zoological collector Walter Goodfellow. It is endemic to the Philippines. Its natural habitat is subtropical or tropical moist montane forest.",Animalia,Chordata,,Aves,Passeriformes,Zosteropidae,Heleia,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Luzon striped babbler,,"The Luzon striped babbler (Zosterornis striatus ) is a species of bird in the family Zosteropidae. It is endemic to the Philippines, where it is only found in northern Luzon and in Bataan.
Its natural habitat is tropical moist lowland forest. It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Zosteropidae,Zosterornis,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Mindanao pygmy babbler,,"The Mindanao pygmy babbler (Dasycrotapha plateni ) is a bird species endemic to the Philippines. It had been placed in the family Timaliidae, but it is a close relative of the white-eyes, however, and many taxonomists now place it in the family Zosteropidae.
The Visayan pygmy babbler was formerly included here as a subspecies, but is usually recognized as a distinct species S. pygmaea today. Together, they were simply called ""pygmy babbler"".
Its natural habitats are tropical moist lowland forests and tropical moist montane forests up to 1,100 meters above sea level. It is often seen in mixed flocks with other forest birds. It has been classified by the IUCN as Near-threatened due to habitat loss.
The scientific name commemorates the German zoologist Carl Constantin Platen.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Zosteropidae,Dasycrotapha,,,,,,,,,,,,,,,,,,,,Decreasing,Vulnerable (VU)
Black-crowned babbler,,"Black-crowned babbler has been split into two species:
Visayan babbler, Sterrhoptilus nigrocapitatus
Calabarzon babbler, Sterrhoptilus affinis
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Zosteropidae,Sterrhoptilus,,,,,,,,,,,,,,,,,,,,Decreasing,Endangered (EN)
Furtive flycatcher,,"The furtive flycatcher (Ficedula disposita ) is a species of bird in the family Muscicapidae.It is endemic to the Philippines. The furtive flycatcher can be identified by a faint, high-pitched, 2-3 note call. The Furtive Flycatcher is a small olive brown bird that stands 11–11.5 centimeters tall
Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests.It is threatened by habitat loss with 1/3 of the Philippines forest cover being lost between 1990 and 2005
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Muscicapidae,Ficedula,,,,,,,,,,,,,,,,,,,,Decreasing,Data deficient (DD)
Cryptic flycatcher,,"The cryptic flycatcher (Ficedula crypta ) is a species of bird in the family Muscicapidae.It is endemic to the Philippines only being found in the island of Mindanao. Its natural habitat is tropical moist mid-montane forests from 600 - 1,500 meters.",Animalia,Chordata,,Aves,Passeriformes,Muscicapidae,Ficedula,,,,,,,,,,,,,,,,,,,,Decreasing,Near Threatened (NT)
Negros leaf warbler,,"The Negros leaf warbler (Phylloscopus nigrorum ) is a songbird species from the leaf warbler family (Phylloscopidae). It was formerly included in the ""Old World warbler"" assemblage.
It is found in the Philippines. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Phylloscopidae,Phylloscopus,,,,,,,,,,,,,,,,,,,,Unknown,Vulnerable (VU)
Rusty-crowned babbler,,"The rusty-crowned babbler (Sterrhoptilus capitalis ) is a species of bird in the family Zosteropidae. It is native to the southern Philippines.
Its natural habitat is subtropical or tropical moist lowland forest.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Zosteropidae,Sterrhoptilus,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
White-browed jungle flycatcher,"Luzon jungle-flycatcher, Rusty-flanked jungle-flycatcher","The white-browed jungle flycatcher (Vauriella insignis ), also known as the Luzon jungle-flycatcher and the Rusty-flanked jungle-flycatcher, is a species of bird in the Old World flycatcher family Muscicapidae.It is endemic to Luzon island, in the Philippines. The natural habitat of the white-browed jungle flycatcher is tropical moist montane forests. It is threatened by habitat loss.
This species was previously placed in the genus Rhinomyias but was moved to Vauriella when a molecular phylogenetic study published in 2010 found that Rhinomyias was polyphyletic.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Muscicapidae,Vauriella,,,,,,,,,,,,,,,,,,,,Stable,Vulnerable (VU)
Mindanao miniature babbler,,"The Mindanao miniature babbler (Micromacronus sordidus ) is a bird species in the family Cisticolidae. It was formerly included in M. leytensis as a subspecies, is now usually held to be a distinct species, M. sordidus.
M. sordidus is endemic to the Philippines. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests. Its status is insufficiently known.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Cisticolidae,Micromacronus,,,,,,,,,,,,,,,,,,,,Stable,Endangered (EN)
Palawan drongo,,"The Palawan drongo (Dicrurus palawanensis ) is an Asian bird of the family Dicruridae. It was formerly considered conspecific with the hair-crested drongo.
It is endemic to Palawan.
SHOW LESS",Animalia,Chordata,,Aves,Anura,Dicruridae,Dicrurus,,,,,,,,,,,,,,,,,,,,Decreasing,Data deficient (DD)
Barbourula busuangensis,,"Barbourula busuangensis is a species of frog in the family Bombinatoridae. It is also known under the common names Philippine flat-headed frog, Palawan flat-headed frog, Busuanga jungle toad, Busuanga disk-tongued toad, and Philippine aquatic frog. It is endemic to the Busuanga, Culion, Balabac, and Palawan islands in the Philippines. It is an inhabitant of clear-water streams and is threatened by habitat loss.",Animalia,Chordata,,Amphibia,Anura,Bombinatoridae,Barbourula,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Philippine toad,,"The Philippine toad (Ingerophrynus philippinicus ) is a species of toad in the family Bufonidae.It is endemic to the Philippines.Its natural habitats are subtropical or tropical dry forest, subtropical or tropical moist lowland forest, subtropical or tropical swamps, subtropical or tropical moist montane forest, subtropical or tropical moist shrubland, intermittent rivers, swamps, freshwater lakes, intermittent freshwater lakes, freshwater marshes, intermittent freshwater marshes, intertidal marches, arable land, plantations, rural gardens, urban areas, water storage areas, ponds, aquaculture ponds, and seasonally flooded agricultural land.",Animalia,Chordata,,Amphibia,Gymnophiona,Bufonidae,Ingerophrynus,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Ichthyophis mindanaoensis,"Todaya caecilian, Mindanao island caecilian","Ichthyophis mindanaoensis, also known as Todaya caecilian or Mindanao Island caecilian, is a species of caecilian in the family Ichthyophiidae. It is endemic to the island of Mindanao, the Philippines.",Animalia,Chordata,,Amphibia,Anura,Ichthyophiidae,Ichthyophis,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Fejervarya vittigera,Luzon wart frog,"The Luzon wart frog, Fejervarya vittigera, is a species of frog in the family Dicroglossidae.It is endemic to the Philippines where it occurs on all the major islands. It is an abundant and common species occurring in a range of man-made habitats, such as agricultural areas, ditches, artificial ponds and lakes. It uses nearly any body of available water for breeding.",Animalia,Chordata,,Amphibia,Anura,Dicroglossidae,Fejervarya,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Ansonia mcgregori,,"Ansonia mcgregori is a species of toad in the family Bufonidae. It is endemic to central and western Mindanao, Philippines. The specific name mcgregori honors Richard Crittenden McGregor, an Australian ornithologist who collected the holotype. Common names McGregor's toad, McGregori's river toad, and McGregor's stream toad have been coined for it.",Animalia,Chordata,,Amphibia,Anura,Bufonidae,Ansonia,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Ansonia muelleri,Mueller's toad,"Ansonia muelleri, commonly known as Mueller's toad, is a species of toad in the family Bufonidae. It is endemic to the Philippines.
Its natural habitats are subtropical or tropical dry forests, subtropical or tropical moist lowland forests, subtropical or tropical moist montane forests, rivers, intermittent rivers, and freshwater springs.It is threatened by habitat loss.",Animalia,Chordata,,Amphibia,Anura,Bufonidae,Ansonia,,,,,,,,,,,,,,,,,,,,Decreasing,Vulnerable (VU)
Hazel's forest frog,,"The Hazel's forest frog (Platymantis hazelae ) is a species of frog in the family Ceratobatrachidae.It is endemic to the Philippines, where it occurs on the mountains of Negros and possibly also Masbate.
Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,,Amphibia,Anura,Ceratobatrachidae,Platymantis,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Platymantis spelaeus,"Negros cave frog, Cave wrinkled ground frog","Platymantis spelaeus, also known as the Negros cave frog or cave wrinkled ground frog, is a species of frog in the family Ceratobatrachidae. It is endemic to the Philippines, where it is only found in the forested limestone areas of southern Negros. It is one of the two cave-dwelling Platymantis species, the other one being Platymantis insulatus.",Animalia,Chordata,,Amphibia,Gymnophiona,Ceratobatrachidae,Platymantis,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Ichthyophis glandulosus,Basilan island caecilian,"Ichthyophis glandulosus, the Basilan Island caecilian, is a species of amphibian in the family Ichthyophiidae endemic to the Philippines. Its natural habitats are subtropical or tropical moist lowland forests, subtropical or tropical moist montane forests, rivers, intermittent rivers, freshwater springs, plantations, rural gardens, heavily degraded former forest, irrigated land and seasonally flooded agricultural land. The population is unknown as only two specimens have been collected.",Animalia,Chordata,,Amphibia,Anura,Ichthyophiidae,Ichthyophis,,,,,,,,,,,,,,,,,,,,Unknown,Vulnerable (VU)
Platymantis cagayanensis,,"Platymantis cagayanensis is a species of frog in the family Ceratobatrachidae.It is endemic to the Philippines, where it is found along the north coast of Luzon Island and on Palaui Island.
Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,,Amphibia,Anura,Ceratobatrachidae,Platymantis,,,,,,,,,,,,,,,,,,,,Decreasing,Endangered (EN)
Palawan toadlet,White-striped flathead toad,"The Palawan toadlet or white-striped flathead toad (Pelophryne albotaeniata ) is a species of toad in the family Bufonidae.It is endemic to Palawan, the Philippines.
Pelophryne albotaeniata is similar to Pelophryne misera from Borneo, and it might be subspecies of the latter.
SHOW LESS",Animalia,Chordata,,Amphibia,Anura,Bufonidae,Pelophryne,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Philautus acutirostris,,Philautus acutirostris is a species of frog in the family Rhacophoridae.It is endemic to the Philippines. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests.It is threatened by habitat loss.,Animalia,Chordata,,Amphibia,Anura,Rhacophoridae,Philautus,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Eastern Mindanao frog,,"The Eastern Mindanao frog or Tagibo wart frog (Limnonectes diuatus ) is a species of frog in the family Dicroglossidae. It is endemic to the Philippines, where it occurs in the mountains of Mindanao.
This frog lives in streams and rivers in rainforest habitat. It is common, but it is considered to be vulnerable due to habitat loss and degradation. Agricultural operations lead to deforestation in the area and the waterways are polluted.
SHOW LESS",Animalia,Chordata,,Amphibia,Gymnophiona,Dicroglossidae,Limnonectes,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Ichthyophis weberi,Malatgan river caecilian,"Ichthyophis weberi, the Malatgan River caecilian, is a species of amphibian in the family Ichthyophiidae endemic to the Philippines. Its natural habitats are subtropical or tropical moist lowland forests, subtropical or tropical moist montane forests, rivers, intermittent rivers, plantations, rural gardens, heavily degraded former forests, irrigated land, and seasonally flooded agricultural land.
In 2011, the species was found in Cleapatra's Needle, a diverse landscape of ancient rainforest in Palawan, after 50 years of disappearance.
SHOW LESS",Animalia,Chordata,,Amphibia,Anura,Ichthyophiidae,Ichthyophis,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Polypedates hecticus,,"Polypedates hecticus is a species of frog in the family Rhacophoridae.It is endemic to Samar, Philippines.
Its natural habitats are subtropical or tropical moist lowland forests, rivers, freshwater marshes, and intermittent freshwater marshes.",Animalia,Chordata,,Amphibia,Anura,Rhacophoridae,Polypedates,,,,,,,,,,,,,,,,,,,,Decreasing,Vulnerable (VU)
Rabor's forest frog,,"The Rabor's forest frog (Platymantis rabori ) is a species of frog in the family Ceratobatrachidae. It is endemic to the southern Philippines, where it occurs in the rainforests of Bohol, Leyte, and Mindanao islands.
Its natural habitats are subtropical or tropical dry forest, subtropical or tropical moist lowland forest, and subtropical or tropical moist montane forest.It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,,Amphibia,Anura,Ceratobatrachidae,Platymantis,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Platymantis mimulus,Japanese bullet frog,"Platymantis mimulus, commonly known as the Japanese bullet frog, is a species of frog in the family Ceratobatrachidae. It is endemic to the Philippines, where it occurs on Mount Makiling and vicinity.
Its natural habitats are subtropical or tropical dry forests, subtropical or tropical moist lowland forests, subtropical or tropical moist montane forests, pastureland, plantations, rural gardens, and heavily degraded former forest.
SHOW LESS",Animalia,Chordata,,Amphibia,Anura,Ceratobatrachidae,Platymantis,,,,,,,,,,,,,,,,,,,,Decreasing,Vulnerable (VU)
